Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
267073, 321, 0, 88.884560, 86.053004, 86.042924, 86.042924, 96.81, 99.99, 100.00
267167, 247, 0, 264.968900, 225.159900, 225.130200, 225.130200, 84.98, 99.99, 100.00
267358, 108, 0, 0.082934, 0.081767, 0.081767, 0.081767, 98.59, 100.00, 100.00
267359, 128, 0, 0.244929, 0.243973, 0.243973, 0.243973, 99.61, 100.00, 100.00
267360, 110, 0, 0.339289, 0.324914, 0.324914, 0.324914, 95.76, 100.00, 100.00
267367, 162, 0, 1.618843, 1.548440, 1.548440, 1.548440, 95.65, 100.00, 100.00
267385, 669, 0, 6.093710, 6.004990, 6.004990, 6.004990, 98.54, 100.00, 100.00
267599, 828, 0, 5.773504, 5.677158, 5.677128, 5.677128, 98.33, 100.00, 100.00
267638, 637, 0, 3519.666800, 3375.226300, 3373.091500, 3373.091500, 95.90, 99.94, 100.00
267639, 514, 0, 3129.986500, 2984.128700, 2982.772300, 2982.772300, 95.34, 99.95, 100.00
Total, 3724, 0, 7017.660000, 6684.450000, 6680.920000, 6680.920000, 95.25, 99.95, 100.00
